127.0.0.1 - - [06/Mar/2024:18:34:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:34:53 +0530] "GET /movie-book-app/ HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:34:54 +0530] "GET /movie-book-app/your-background-image-url.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:34:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "POST /movie-book-app/signin HTTP/1.1" 200 11222
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/js/inox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/erbp/c2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/cuscus@gmail.com.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/erbp/c1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/css/inox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/movie/salar.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/movie/animal.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/INOXLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/erbp/c4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/movie/avengers%202.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/movie/Jocker.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:16 +0530] "GET /movie-book-app/resources/image/movie/Kabir%20shing.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:24 +0530] "GET /movie-book-app/show_theater?movie_id=1 HTTP/1.1" 200 12427
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:29 +0530] "GET /movie-book-app/seat?show_id=3 HTTP/1.1" 200 26356
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:50 +0530] "POST /movie-book-app/payment HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:35:50 +0530] "GET /movie-book-app/path/to/your/qr/code/image HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:36:00 +0530] "POST /movie-book-app/confirmPayment HTTP/1.1" 200 6980
0:0:0:0:0:0:0:1 - - [06/Mar/2024:18:37:27 +0530] "GET /movie-book-app/home HTTP/1.1" 200 11222
